Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25258568,RS_198,COUNTRY,AGO,YEAR,2001,SEX,BTSX,,,,,,,25.2 [20.3-30.0],25.19249,20.33618,30.0488,,2021-02-09T16:20:33Z,2001,2001-01-01,2001-12-31
25258569,RS_198,COUNTRY,AGO,YEAR,2013,SEX,FMLE,,,,,,,17.0 [13.5-20.5],16.98153,13.48691,20.47913,,2021-02-09T16:20:33Z,2013,2013-01-01,2013-12-31
25258570,RS_198,COUNTRY,AGO,YEAR,2010,SEX,FMLE,,,,,,,20.3 [16.2-24.4],20.32113,16.194,24.44826,,2021-02-09T16:20:33Z,2010,2010-01-01,2010-12-31
25258571,RS_198,COUNTRY,AGO,YEAR,2002,SEX,MLE,,,,,,,29.0 [23.5-34.5],28.98677,23.47383,34.49972,,2021-02-09T16:20:33Z,2002,2002-01-01,2002-12-31
25258572,RS_198,COUNTRY,AGO,YEAR,2019,SEX,FMLE,,,,,,,18.2 [13.8-22.5],18.15561,13.79292,22.51168,,2021-02-09T16:20:33Z,2019,2019-01-01,2019-12-31
25258573,RS_198,COUNTRY,AGO,YEAR,2009,SEX,FMLE,,,,,,,21.1 [16.9-25.3],21.10078,16.88062,25.31713,,2021-02-09T16:20:33Z,2009,2009-01-01,2009-12-31
25258574,RS_198,COUNTRY,AGO,YEAR,2004,SEX,BTSX,,,,,,,25.9 [21.0-30.8],25.87048,20.98187,30.7646,,2021-02-09T16:20:33Z,2004,2004-01-01,2004-12-31
25258575,RS_198,COUNTRY,AGO,YEAR,2006,SEX,MLE,,,,,,,28.3 [22.8-33.9],28.33778,22.76408,33.91721,,2021-02-09T16:20:33Z,2006,2006-01-01,2006-12-31
25258576,RS_198,COUNTRY,AGO,YEAR,2019,SEX,BTSX,,,,,,,26.1 [19.9-32.4],26.13221,19.85279,32.40211,,2021-02-09T16:20:33Z,2019,2019-01-01,2019-12-31
25258577,RS_198,COUNTRY,AGO,YEAR,2005,SEX,BTSX,,,,,,,26.1 [21.0-31.1],26.05762,20.98715,31.12809,,2021-02-09T16:20:33Z,2005,2005-01-01,2005-12-31
