Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25258508,RS_196,COUNTRY,AGO,YEAR,2001,SEX,FMLE,,,,,,,1873 [1512-2234],1872.978,1511.928,2234.029,,2021-02-09T16:20:31Z,2001,2001-01-01,2001-12-31
25258509,RS_196,COUNTRY,AGO,YEAR,2014,SEX,FMLE,,,,,,,2376 [1884-2869],2376.073,1883.708,2868.832,,2021-02-09T16:20:32Z,2014,2014-01-01,2014-12-31
25258510,RS_196,COUNTRY,AGO,YEAR,2009,SEX,FMLE,,,,,,,2401 [1921-2880],2400.692,1920.553,2880.397,,2021-02-09T16:20:32Z,2009,2009-01-01,2009-12-31
25258511,RS_196,COUNTRY,AGO,YEAR,2006,SEX,MLE,,,,,,,2830 [2274-3388],2830.287,2273.603,3387.543,,2021-02-09T16:20:32Z,2006,2006-01-01,2006-12-31
25258512,RS_196,COUNTRY,AGO,YEAR,2001,SEX,BTSX,,,,,,,4269 [3446-5092],4269.057,3446.119,5091.995,,2021-02-09T16:20:32Z,2001,2001-01-01,2001-12-31
25258513,RS_196,COUNTRY,AGO,YEAR,2016,SEX,BTSX,,,,,,,7137 [5570-8704],7137.264,5569.523,8703.955,,2021-02-09T16:20:32Z,2016,2016-01-01,2016-12-31
25258514,RS_196,COUNTRY,AGO,YEAR,2012,SEX,BTSX,,,,,,,5813 [4612-7014],5812.964,4611.625,7014.303,,2021-02-09T16:20:32Z,2012,2012-01-01,2012-12-31
25258515,RS_196,COUNTRY,AGO,YEAR,2010,SEX,FMLE,,,,,,,2399 [1912-2887],2399.31,1912.021,2886.599,,2021-02-09T16:20:32Z,2010,2010-01-01,2010-12-31
25258516,RS_196,COUNTRY,AGO,YEAR,2017,SEX,BTSX,,,,,,,7596 [5876-9314],7595.796,5876.158,9313.804,,2021-02-09T16:20:32Z,2017,2017-01-01,2017-12-31
25258517,RS_196,COUNTRY,AGO,YEAR,2004,SEX,FMLE,,,,,,,2075 [1683-2467],2074.69,1682.647,2467.175,,2021-02-09T16:20:32Z,2004,2004-01-01,2004-12-31
25258518,RS_196,COUNTRY,AGO,YEAR,2018,SEX,FMLE,,,,,,,2773 [2126-3420],2773.241,2126.123,3419.558,,2021-02-09T16:20:32Z,2018,2018-01-01,2018-12-31
25258519,RS_196,COUNTRY,AGO,YEAR,2005,SEX,FMLE,,,,,,,2209 [1779-2639],2209.326,1779.42,2639.232,,2021-02-09T16:20:32Z,2005,2005-01-01,2005-12-31
25258520,RS_196,COUNTRY,AGO,YEAR,2019,SEX,BTSX,,,,,,,8317 [6318-10312],8316.654,6318.21,10312.07,,2021-02-09T16:20:32Z,2019,2019-01-01,2019-12-31
25258521,RS_196,COUNTRY,AGO,YEAR,2016,SEX,FMLE,,,,,,,2607 [2034-3179],2607.105,2034.439,3179.387,,2021-02-09T16:20:32Z,2016,2016-01-01,2016-12-31
